client_name,contract_id,payment_number,payment_date,payment_amount
El Ahly Bank,102,1,2021-01-03,49166.666666666664
El Ahly Bank,102,2,2021-04-03,49166.666666666664
El Ahly Bank,102,3,2021-07-03,49166.666666666664
El Ahly Bank,102,4,2021-10-03,49166.666666666664
El Ahly Bank,102,5,2022-01-03,49166.666666666664
El Ahly Bank,102,6,2022-04-03,49166.666666666664
El Ahly Bank,102,7,2022-07-03,49166.666666666664
El Ahly Bank,102,8,2022-10-03,49166.666666666664
El Ahly Bank,102,9,2023-01-03,49166.666666666664
El Ahly Bank,102,10,2023-04-03,49166.666666666664
El Ahly Bank,102,11,2023-07-03,49166.666666666664
El Ahly Bank,102,12,2023-10-03,49166.666666666664
